ACCIDENT_NO,PERSON_ID,cluster
T20240003332,B,2
T20220025817,A,2
T20190008004,B,4
T20240007699,A,1
T20170016181,A,4
T20170016181,B,1
T20180002622,B,4
T20180002622,A,1
T20220017503,01,1
T20190007419,03,4
T20190007419,A,6
T20190007419,B,6
T20190007419,01,6
T20190007419,02,6
T20210004362,A,4
T20210004362,B,1
T20230020800,A,2
T20230010434,A,0
T20230011018,A,0
T20230011018,B,2
T20230009868,A,0
T20190009356,B,4
T20190013109,02,1
T20170020918,A,0
T20150025340,02,2
T20150025340,A,2
T20200005979,01,2
T20220022000,A,2
T20200007988,A,1
T20210010740,B,2
T20210010740,A,0
T20210019634,B,2
T20230015116,B,2
T20210006037,B,0
T20220006480,B,1
T20200011024,A,2
T20240008892,B,2
T20200023852,B,6
T20200023852,A,4
T20210009063,B,2
T20180017037,A,2
T20210014116,A,2
T20130000678,B,0
T20130000678,01,0
T20170016378,B,0
T20210009945,A,0
T20190007253,B,2
T20130016318,A,6
T20210008413,B,0
T20210008775,B,0
T20170012441,01,2
T20200021326,01,0
T20220027761,B,2
T20220027761,A,0
T20230029448,A,4
T20240001460,A,2
T20240011247,B,4
T20230029813,01,0
T20230029813,B,0
T20200007411,A,3
T20200007411,01,3
T20240006201,A,0
T20240006201,B,2
T20220014724,A,1
T20220024045,A,2
T20240009678,01,0
T20240010294,A,0
T20240010294,B,2
T20240010294,01,2
T20240005564,B,2
T20240010262,01,4
T20240010262,A,6
T20240010283,01,3
T20240010200,B,2
T20240010200,A,0
T20240010233,B,1
T20240010233,A,1
T20240010298,B,0
T20240010298,A,2
T20240012368,01,3
T20240012368,02,1
T20220016312,A,1
T20240006497,B,2
T20240000968,B,2
T20240011602,A,0
T20240005326,B,0
T20240008394,A,0
T20220021107,A,2
T20220022850,02,6
T20220022850,A,4
T20220022850,B,1
T20240016509,01,2
T20220028862,A,0
T20240009759,A,2
T20230028056,A,2
T20230028056,01,2
T20240000585,A,2
T20240000585,01,2
T20240000585,B,0
T20230016718,A,1
T20230016718,B,4
T20230016739,A,0
T20210021277,B,2
T20210021277,A,2
T20210023702,01,0
T20200011900,A,6
T20200011900,B,4
T20240001769,B,2
T20230004918,A,0
T20200017975,A,1
T20200017975,B,4
T20160015841,B,1
T20210008592,A,0
T20230021625,A,0
T20200023057,A,2
T20240009854,03,6
T20230004904,A,0
T20230004904,B,2
T20230014090,A,2
T20230014090,B,0
T20230014090,01,0
T20230014090,02,0
T20230010051,01,1
T20230010051,A,4
T20230010051,B,1
T20220012382,B,2
T20220016643,A,0
T20220016643,B,2
T20230019413,A,1
T20230019413,B,4
T20220017802,A,0
T20220017802,B,2
T20230014876,B,2
T20230014876,A,0
T20230017801,A,1
T20220017729,A,2
T20220017729,B,0
T20230021645,B,2
T20230016668,B,4
T20230016668,A,1
T20200017099,A,0
T20230014984,01,4
T20230014984,B,1
T20230014984,02,1
T20210023469,B,1
T20230023182,A,2
T20230023182,A,2
T20180020419,01,2
T20220017778,B,2
T20210025354,A,2
T20210014624,A,1
T20190008426,A,2
T20200020543,A,2
T20120009558,B,0
T20200010264,A,0
T20220027817,01,2
T20120009558,A,0
T20230005339,B,2
T20220013048,01,0
T20170017915,B,0
T20170017915,B,0
T20210026227,A,2
T20210011849,A,0
T20210011849,B,2
T20180015211,B,1
T20200021787,A,2
T20220009053,B,4
T20210021167,A,0
T20210021766,03,0
T20210021766,03,0
T20210006967,A,0
T20210011914,02,1
T20210022197,B,0
T20220001914,B,2
T20220008740,A,0
T20210010784,A,1
T20210024849,A,1
T20210010437,A,2
T20240006657,B,0
T20230025560,B,0
T20230021600,02,0
T20230017370,A,0
T20230017370,B,2
T20210021033,B,1
T20230030781,B,2
T20230018075,B,2
T20230018075,A,0
T20230005514,B,1
T20230015648,B,4
T20230016856,A,0
T20230021600,A,0
T20230015551,A,0
T20230015551,B,0
T20220023749,A,0
T20230013490,02,3
T20240004495,B,0
T20220023749,B,0
T20240013439,B,1
T20220028351,01,2
T20230030106,B,2
T20230029628,A,6
T20220028351,A,2
T20230025440,B,2
T20180014722,A,3
T20120018886,A,2
T20120018886,B,0
T20230008769,A,2
T20210001138,B,2
T20200012193,A,0
T20200012193,B,2
T20220007761,A,4
T20220007761,B,1
T20230021173,A,0
T20230021173,B,2
T20230021173,01,2
T20230022361,B,1
T20230017257,B,2
T20230017975,A,0
T20230017975,B,2
T20230025635,B,0
T20230024648,A,2
T20230026251,B,2
T20230026251,A,0
T20210026317,B,2
T20210026317,01,2
T20210026317,A,0
T20230022115,A,1
T20190020075,B,2
T20190020122,A,2
T20220011602,A,1
T20240010681,A,2
T20240011262,A,6
T20240011262,01,4
T20240000641,01,0
T20240000641,A,0
T20240000641,B,2
T20240005520,B,2
T20180004447,B,2
T20240011830,A,4
T20240005430,A,1
T20240003634,01,1
T20240003634,A,1
T20240003634,B,4
T20240015739,B,4
T20240010682,A,0
T20240006497,A,0
T20210025426,03,3
T20210025426,A,3
T20240013182,A,4
T20130002987,B,0
T20130002987,01,0
T20130002987,A,0
T20240003510,A,0
T20220026613,02,6
T20230023097,B,4
T20240012266,B,2
T20200003986,B,0
T20230011453,35,5
T20230000208,B,0
T20240016109,01,1
T20190024364,01,3
T20230013403,B,2
T20240014504,01,3
T20170015103,A,2
T20170015808,A,0
T20190020569,02,3
T20180005141,01,2
T20180005141,B,2
T20210015054,B,0
T20210026076,B,1
T20210026065,01,3
T20220020380,B,4
T20200011499,B,2
T20200011499,A,0
T20240008753,A,0
T20210023039,B,2
T20210023039,B,2
T20210023039,A,0
T20210023039,A,0
T20220007884,01,0
T20210001022,B,2
T20210001022,A,0
T20210000562,B,6
T20200003336,A,4
T20200003534,A,2
T20230006537,A,0
T20210019961,B,1
T20220001914,A,0
T20220022622,A,0
T20210018759,B,1
T20220006453,B,2
T20220014295,B,2
T20220006453,A,0
T20220012121,A,4
T20240003298,B,0
T20220014307,03,2
T20230013685,A,3
T20220008503,B,2
T20210014919,A,2
T20210014919,B,0
T20230005515,A,2
T20230007140,B,4
T20240008661,01,1
T20180013654,A,1
T20180013654,B,6
T20180013654,01,1
T20180013654,02,6
T20240011123,B,0
T20240005480,B,0
T20240011939,A,4
T20230029234,B,3
T20240005480,A,0
T20200019663,A,0
T20180013042,B,4
T20210000145,A,0
T20240015775,A,1
T20240016010,B,2
T20240016010,A,0
T20230000303,02,2
T20240028547,A,0
T20240028547,B,2
T20180023675,B,3
T20220026613,03,6
T20220026613,04,6
T20240013452,A,0
T20240013452,B,2
T20240013452,01,0
T20240016238,A,4
T20210011588,B,4
T20230001245,02,0
T20210023743,A,0
T20210023743,B,0
T20170014011,A,0
T20210013236,B,2
T20210013236,A,0
T20160015639,B,2
T20160015639,A,0
T20210022739,A,1
T20210021593,A,0
T20190001910,B,4
T20210019874,01,3
T20210019874,A,3
T20210019874,B,6
T20210023729,01,2
T20210023729,B,2
T20210022776,B,2
T20170015103,02,0
T20230008228,B,1
T20220005695,01,0
T20150019968,B,1
T20150019968,A,1
T20150019968,01,4
T20230008038,B,1
T20220004633,A,0
T20210022249,B,4
T20210023716,C,0
T20230016658,B,1
T20230016658,A,4
T20230023006,A,2
T20190002768,B,0
T20190012122,02,2
T20210022433,A,0
T20210022433,B,2
T20190015509,A,6
T20230004379,01,0
T20220022236,A,4
T20200023411,01,1
T20200023411,02,3
T20210011390,A,2
T20200008900,A,3
T20230001732,A,2
T20230001732,B,2
T20220014344,A,2
T20170014052,A,4
T20230001732,01,0
T20190012122,A,2
T20120014168,B,3
T20120014168,A,3
T20200005799,B,4
T20210024562,02,0
T20190005923,01,1
T20210019588,B,2
T20220013339,A,0
T20220028235,B,2
T20210024750,01,2
T20210024562,01,2
T20230021625,B,2
T20230000106,B,0
T20120011422,A,4
T20210009145,01,0
T20210021685,B,2
T20190006371,01,0
T20210022205,01,1
T20240016238,B,1
T20240013571,A,0
T20240013571,B,2
T20240000076,B,1
T20230025041,01,6
T20230025041,A,4
T20230025041,02,1
T20220013368,01,3
T20220013368,A,3
T20220013368,B,3
T20240013275,A,2
T20180016965,A,6
T20180016965,B,1
T20240008661,B,3
T20240010353,03,0
T20240010353,02,0
T20240010353,A,2
T20230025041,B,6
T20220002627,A,0
T20220002627,B,2
T20190018667,B,2
T20130018726,B,1
T20130018726,B,1
T20190015895,02,0
T20200016145,B,6
T20180017037,01,2
T20170011494,A,0
T20160023923,01,0
T20200020094,B,2
T20190023247,B,0
T20230007602,A,4
T20230007602,B,1
T20200016381,A,2
T20200013289,B,0
T20200013289,A,2
T20190019701,A,2
T20190019701,B,0
T20240013320,A,0
T20180014109,01,1
T20190018969,A,2
T20190016653,02,5
T20190015590,B,0
T20220006011,B,2
T20150016195,A,0
T20160005981,A,2
T20190016097,B,2
T20180021175,B,0
T20190019070,B,1
T20190006197,A,1
T20190020128,B,2
T20190020128,A,0
T20190021567,B,4
T20190021567,A,1
T20190024855,B,4
T20190024855,A,1
T20150015030,A,0
T20150015030,B,0
T20190004157,A,2
T20180020157,B,4
T20220025015,A,1
T20210011589,A,1
T20220003695,B,6
T20240010595,A,1
T20240010351,A,1
T20240010401,A,0
T20240010401,B,0
T20240010403,B,0
T20240010403,A,2
T20230024880,B,0
T20230024880,01,2
T20240010382,A,0
T20240010382,B,0
T20240010461,A,6
T20240010461,B,1
T20240010461,01,1
T20240010461,02,4
T20230015476,02,4
T20230015476,01,1
T20240010336,A,1
T20240011841,B,2
T20240011841,01,0
T20240011841,A,0
T20160022698,A,4
T20190013755,A,1
T20200018563,01,2
T20180017207,A,1
T20180020157,A,1
T20190012187,A,0
T20190003954,A,0
T20210021428,01,1
T20200013295,01,1
T20210001476,01,0
T20190011368,B,2
T20170012300,A,0
T20170012300,B,2
T20190011405,A,0
T20220018245,B,0
T20190011480,A,0
T20190011480,B,2
T20200010237,A,0
T20190013755,B,4
T20190020852,01,0
T20190011412,A,1
T20140013205,A,0
T20210001476,02,2
T20210001476,B,2
T20160022971,B,6
T20220001539,01,0
T20120011422,B,1
T20180008687,B,0
T20170020769,B,2
T20210025805,B,1
T20170016033,B,0
T20190011522,A,0
T20190011522,B,0
T20190012059,A,1
T20190012059,01,1
T20210014428,A,0
T20190021804,B,0
T20190018762,B,2
T20190024292,B,0
T20190020360,A,0
T20190020772,01,0
T20190020772,A,2
T20210001931,02,4
T20200018421,A,2
T20190021927,A,0
T20180023466,A,0
T20200017989,B,2
T20190011129,A,1
T20190020351,B,2
T20200007735,A,2
T20200003235,01,0
T20200008197,A,0
T20150016612,B,0
T20190005545,A,1
T20190005545,B,1
T20210026597,B,0
T20190010620,A,1
T20180008326,A,0
T20150012136,A,0
T20150012136,A,0
T20190016629,A,0
T20190016629,B,2
T20200011304,B,4
T20190026336,01,2
T20190025427,A,2
T20190025427,B,0
T20210026227,B,0
T20210005394,B,0
T20240011626,B,2
T20240011626,A,0
T20240010634,01,2
T20240010634,A,0
T20240010634,B,0
T20240010719,01,6
T20240010719,02,4
T20240010719,B,6
T20240010719,A,1
T20240010719,03,6
T20210008831,A,0
T20240010958,A,1
T20240010958,B,4
T20240010837,B,2
T20240010837,A,0
T20230011410,A,0
T20250000606,B,2
T20240007160,A,0
T20240007160,B,0
T20190009289,A,1
T20240013957,B,2
T20240013957,A,0
T20220013113,A,1
T20230008998,B,4
T20240014447,A,2
T20230013451,B,3
T20220001157,A,4
T20240005270,A,2
T20190026336,A,2
T20200004324,A,0
T20240001051,A,0
T20170018508,B,0
T20190026141,A,0
T20190021249,B,2
T20200017566,01,1
T20200019352,A,2
T20190021629,B,0
T20210005308,A,0
T20220012167,A,2
T20190026336,B,0
T20140003585,A,4
T20180016095,B,2
T20200005890,A,0
T20170018417,B,0
T20150005396,B,3
T20220000946,02,0
T20160003192,03,3
T20160003192,A,3
T20190024528,B,0
T20190006498,01,3
T20190020851,A,2
T20220014314,B,4
T20210020468,B,0
T20200018562,A,0
T20240011456,B,2
T20240011984,A,0
T20240031410,B,2
T20240031410,A,0
T20240011605,A,4
T20240011605,B,1
T20240011605,02,1
T20240011924,A,4
T20240011924,B,1
T20240013431,A,1
T20240011123,01,0
T20240011123,A,0
T20230026589,B,2
T20220018777,A,6
T20240015261,B,4
T20220027896,01,6
T20220027896,02,3
T20220027896,03,1
T20220027896,B,1
T20220027896,A,3
T20220029249,B,6
T20220029249,A,4
T20230000830,B,3
T20230001772,B,1
T20230001772,A,4
T20230004130,A,1
T20230004130,B,3
T20230004130,01,3
T20240000084,B,1
T20220027687,B,1
T20220027687,A,4
T20240010640,04,6
T20220029580,A,4
T20180020458,B,2
T20190013997,A,1
T20190012756,01,2
T20190012756,A,0
T20190019631,A,2
T20190012756,02,2
T20200017748,B,0
T20230026081,B,0
T20200013179,A,0
T20170009538,B,0
T20190020772,02,0
T20190018350,A,4
T20190021373,A,0
T20190021134,B,2
T20190021134,A,0
T20210014826,A,2
T20190020762,B,0
T20190019631,B,0
T20230028847,A,0
T20230028847,02,2
T20230028847,01,0
T20230028002,A,6
T20230020835,02,2
T20170021385,A,1
T20220007868,B,4
T20230017020,B,2
T20230017020,A,2
T20230017020,01,0
T20200023411,A,1
T20240002707,B,4
T20240005564,A,0
T20200003986,A,2
T20240010888,B,4
T20240010888,A,6
T20240014466,B,0
T20240015620,A,4
T20240001394,A,1
T20190004151,01,6
T20190004151,A,1
T20240007370,A,2
T20240007370,B,0
T20230028751,01,0
T20230028751,B,2
T20190002555,A,0
T20190002555,B,2
T20240002425,B,3
T20190017576,B,0
T20220018985,05,3
T20220018985,06,3
T20210003726,A,2
T20240000596,A,6
T20200011978,A,2
T20200021168,B,1
T20240011581,B,1
T20240002601,A,2
T20190004380,A,1
T20230030514,01,1
T20220015873,01,0
T20220015873,A,0
T20230013373,02,0
T20170017915,A,2
T20170017915,A,2
T20240002537,A,2
T20230017232,A,0
T20180014861,B,2
T20240016252,A,0
T20210023763,A,0
T20230010163,A,2
T20230010163,B,0
T20220020282,A,0
T20230014078,B,0
T20230017675,A,0
T20230017675,B,2
T20180023752,B,3
T20220015498,04,3
T20220015498,A,3
T20220027693,B,2
T20220027693,01,0
T20220027693,A,2
T20230023499,A,4
T20230023499,B,6
T20230009501,A,0
T20230009501,B,2
T20240006743,B,1
T20240001666,B,4
T20240014837,A,0
T20240001023,B,0
T20170007841,01,0
T20170007841,A,0
T20240001666,A,1
T20230009840,A,6
T20200000261,A,3
T20200000261,B,1
T20230008355,A,2
